qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"358",j402dg,NO,NO,NA,NA,,2021/11/01,2:13:04,25.6771,-100.33842,./0.png
"359",j416lh,NO,NO,NA,C5-SinSello,,2021/11/01,12:35:02,25.68381,-100.34271,./0.png
"360",j589dk,NO,NO,NA,C5-SinSello,,2021/11/01,1:05:36,25.68229,-100.34383,./0.png
"361",j832db,NO,NO,NA,NA,,2021/11/01,1:20:05,25.67743,-100.34051,./0.png
"362",j906g5,NO,NO,NA,NA,,2021/11/01,1:02:43,25.68211,-100.34311,./0.png
"363",j968na,NO,NO,NA,NA,,2021/11/01,12:31:59,25.68405,-100.34249,./0.png
"364",j969kw,NO,NO,NA,NA,,2021/11/01,2:52:14,25.67714,-100.33734,./0.png
"365",j976la,NO,NO,NA,NA,,2021/11/01,1:13:15,25.67702,-100.34075,./0.png
"366",jp4999,NO,NO,NA,NA,,2021/11/01,1:26:22,25.67721,-100.33952,./0.png
"367",k351x0,NO,NO,NA,NA,,2021/11/01,2:10:40,25.6771,-100.33878,./0.png
"368",l46h43,NO,NO,NA,NA,,2021/11/01,2:50:26,25.67704,-100.33737,./0.png
"369",l71b94,NO,NO,NA,NA,,2021/11/01,1:11:49,25.68244,-100.34405,./0.png
"370",m038lf,NO,NO,NA,NA,ok,2021/11/01,1:51:34,25.68187,-100.34594,./0.png
"371",m045lk,NO,SI,NA,NA,ok,2021/11/01,2:02:44,25.68208,-100.34527,./0.png
"372",m071lj,NO,SI,NA,NA,,2021/11/01,12:05:37,25.67721,-100.34195,./0.png
"373",m113lf,NO,SI,NA,NA,,2021/11/01,2:50:47,25.67704,-100.33737,./0.png
"374",m235lj,NO,SI,NA,NA,ok,2021/11/01,12:37:30,25.68345,-100.34191,./0.png
"375",m247mc,NO,NO,NA,NA,,2021/11/01,1:52:09,25.68219,-100.34561,./0.png
"376",m718mc,NO,NO,NA,NA,,2021/11/01,1:25:22,25.67713,-100.33978,./0.png
